Rank,Player
001,Nikola Jokić
002,Victor Wembanyama
003,Shai Gilgeous-Alexander
004,Luka Dončić
005,Karl-Anthony Towns
006,Tyrese Maxey
007,Kawhi Leonard
008,Donovan Mitchell
009,Anthony Edwards
010,Stephen Curry
011,Evan Mobley
012,Trey Murphy III
013,Jalen Johnson
014,Chet Holmgren
015,Jimmy Butler III
016,Cade Cunningham
017,Alperen Sengun
018,Amen Thompson
019,Devin Booker
020,Kevin Durant
021,Lauri Markkanen
022,James Harden
023,Austin Reaves
024,Jalen Williams
025,Giannis Antetokounmpo
026,Jamal Murray
027,Ivica Zubac
028,Scottie Barnes
029,Myles Turner
030,LeBron James
031,Franz Wagner
032,Derrick White
033,Anthony Davis
034,OG Anunoby
035,Desmond Bane
036,De'Aaron Fox
037,Jalen Brunson
038,Kristaps Porziņģis
039,Bam Adebayo
040,Brandon Miller
041,Kyshawn George
042,Deandre Ayton
043,Jarrett Allen
044,Mark Williams
045,Miles Bridges
046,Deni Avdija
047,Payton Pritchard
048,Jaylen Brown
049,Dyson Daniels
050,Domantas Sabonis
051,Michael Porter Jr.
052,Jalen Duren
053,Jaren Jackson Jr.
054,Nikola Vucevic
055,Coby White
056,Darius Garland
057,Isaiah Hartenstein
058,Mikal Bridges
059,Nic Claxton
060,Tyler Herro
061,Josh Giddey
062,Onyeka Okongwu
063,Toumani Camara
064,Alex Sarr
065,Trae Young
066,Jalen Suggs
067,Keegan Murray
068,Neemias Queta
069,LaMelo Ball
070,Devin Vassell
071,Jakob Poeltl
072,Paolo Banchero
073,Donte DiVincenzo
074,Brandon Ingram
075,Ausar Thompson
076,Reed Sheppard
077,DeMar DeRozan
078,Rudy Gobert
079,Grayson Allen
080,Aaron Gordon
081,Joel Embiid
082,Herbert Jones
083,Jrue Holiday
084,Pascal Siakam
085,Ryan Rollins
086,Jabari Smith Jr.
087,Jaden McDaniels
088,Matas Buzelis
089,Immanuel Quickley
090,Cooper Flagg
091,Paul George
092,VJ Edgecombe
093,Zach LaVine
094,Zach Edey
095,Norman Powell
096,Josh Minott
097,Cason Wallace
098,Keyonte George
099,Tari Eason
100,Zion Williamson
101,Andrew Nembhard
102,Donovan Clingan
103,Ja Morant
104,Tobias Harris
105,Julius Randle
106,Ryan Kalkbrenner
107,Andrew Wiggins
108,Naz Reid
109,Kel'el Ware
110,Jusuf Nurkić
111,Brandin Podziemski
112,Kris Dunn
113,Josh Hart
114,CJ McCollum
115,John Collins
116,Dereck Lively II
117,Russell Westbrook
118,Aaron Nesmith
119,Santi Aldama
120,Sam Hauser
121,Bilal Coulibaly
122,Quentin Grimes
123,Cedric Coward
124,P.J. Washington
125,Kon Knueppel
126,Shaedon Sharpe
127,Dillon Brooks
128,Jaime Jaquez Jr.
129,Alex Caruso
130,Cameron Johnson
131,Bennedict Mathurin
132,Kyrie Irving
133,Luguentz Dort
134,Stephon Castle
135,Khris Middleton
136,RJ Barrett
137,Moses Moody
138,Nickeil Alexander-Walker
139,Bobby Portis
140,Wendell Carter Jr.
141,De'Andre Hunter
142,Jerami Grant
143,Draymond Green
144,Royce O'Neale
145,Noah Clowney
146,Rui Hachimura
147,Derik Queen
148,Kelly Oubre Jr.
149,Ayo Dosunmu
150,Gary Trent Jr.
151,Daniel Gafford
152,Ty Jerome
153,Jalen Green
154,Kyle Filipowski
155,Zaccharie Risacher
156,Malik Monk
157,Dejounte Murray
158,Anfernee Simons
159,Anthony Black
160,Isaiah Stewart
161,Peyton Watson
162,AJ Green
163,Kevin Huerter
164,Bruce Brown
165,Ajay Mitchell
166,Al Horford
167,Dennis Schröder
168,Cam Thomas
169,Jeremy Sochan
170,Marcus Smart
171,T.J. McConnell
172,Lonzo Ball
173,Isaiah Jackson
174,Jaden Ivey
175,Sam Merrill
176,Taylor Hendricks
177,Harrison Barnes
178,Ryan Dunn
179,Jamal Shead
180,Christian Braun
181,Day'Ron Sharpe
182,Jordan Poole
183,Derrick Jones Jr.
184,Jaylen Wells
185,Miles McBride
186,Moussa Diabaté
187,Collin Sexton
188,Ace Bailey
189,Tre Jones
190,Kentavious Caldwell-Pope
191,Scoot Henderson
192,Terance Mann
193,Egor Dëmin
194,Collin Murray-Boyles
195,Steven Adams
196,Saddiq Bey
197,Mitchell Robinson
198,Jordan Walsh
199,Collin Gillespie
200,Svi Mykhailiuk